id,uid,uid_target
457,187,239
458,225,401
459,211,435
460,242,180
461,305,275
462,220,459
463,180,200
464,171,315
465,313,423
466,186,415
467,174,325
468,189,380
469,238,219
470,217,217
471,187,261
472,312,257
473,237,343
474,297,230
475,170,400
476,177,436
477,311,221
478,212,473
479,293,180
480,198,421
481,299,343
482,228,257
483,263,250
484,306,188
485,230,312
486,243,235
487,172,433
488,188,460
489,216,343
490,185,228
491,198,216
492,246,201
493,276,241
494,328,302
495,291,179
496,314,389
497,325,224
498,208,418
499,235,195
500,325,366
501,236,230
502,284,261
503,256,369
504,205,320
505,316,169
506,177,291
507,255,192
508,205,289
509,289,222
510,256,299
511,267,407
512,258,338
513,231,186
514,260,326
515,229,453
516,191,452
517,295,491
518,238,324
519,180,356
520,250,242
521,223,238
522,332,469
523,222,349
524,221,363
525,209,226
526,333,249
527,224,340
528,303,193
529,169,467
530,240,282
531,210,218
532,328,451
533,248,475
534,256,185
535,293,278
536,315,263
537,210,198
538,279,393
539,215,192
540,216,269
541,214,364
542,206,227
543,239,229
544,296,362
545,220,382
546,268,173
547,169,187
548,250,353
549,279,339
550,255,350
551,261,184
552,313,479
553,237,450
554,319,378
555,269,301
556,258,399
557,322,201
558,326,275
559,317,240
560,169,281
561,331,253
562,300,216
563,280,408
564,316,381
565,297,233
566,328,342
567,291,350
568,231,361
569,188,455
570,262,341
571,293,265
572,265,190
573,184,195
574,296,187
575,266,422
576,192,340
577,286,355
578,333,374
579,302,248
580,264,405
581,279,418
582,300,315
583,318,235
584,225,318
585,220,277
586,241,473
587,223,280
588,320,434
589,303,354
590,270,266
591,316,450
592,217,389
593,204,496
594,242,459
595,252,250
596,312,193
597,284,418
598,218,478
599,275,497
600,205,460
601,232,211
602,263,484
603,190,471
604,222,382
605,185,269
606,257,222
607,269,424
608,263,470
609,252,214
610,226,308
611,288,391
612,266,248
613,255,406
614,187,175
615,264,309
616,245,374
617,244,344
618,332,258
619,206,199
620,317,353
621,284,349
622,219,470
623,277,341
624,279,278
625,174,251
626,304,301
627,329,404
628,286,229
629,293,462
630,205,498
631,251,272
632,281,254
633,175,262
634,323,300
635,290,210
636,268,187
637,198,499
638,268,217
639,313,398
640,277,411
641,277,262
642,261,294
643,193,222
644,194,331
645,216,479
646,182,178
647,321,169
648,281,195
649,245,196
650,178,176
651,177,293
652,220,473
653,230,493
654,276,229
655,260,460
656,207,440
657,237,254
658,315,192
659,224,411
660,210,221
661,290,293
662,220,454
663,223,487
664,267,240
665,279,276
666,269,363
667,308,496
668,350,266
669,340,602
670,483,656
671,386,615
672,486,515
673,475,580
674,382,977
675,384,649
676,372,589
677,461,347
678,478,405
679,342,662
680,350,838
681,424,892
682,434,221
683,397,963
684,395,976
685,484,573
686,359,225
687,340,536
688,472,601
689,496,601
690,495,646
691,388,478
692,364,200
693,384,923
694,429,335
695,499,638
696,470,836
697,478,369
698,418,367
699,461,898
700,405,422
701,444,953
702,406,844
703,437,591
704,388,984
705,480,184
706,483,172
707,399,655
708,349,909
709,393,473
710,380,958
711,351,890
712,393,386
713,392,461
714,461,993
715,397,573
716,374,390
717,456,998
718,391,994
719,357,647
720,402,449
721,380,191
722,462,936
723,365,317
724,388,552
725,441,331
726,481,651
727,359,618
728,479,602
729,430,465
730,441,979
731,403,597
732,484,986
733,351,580
734,426,588
735,464,916
736,473,577
737,479,619
738,414,947
739,354,917
740,341,504
741,380,547
742,391,869
743,341,309
744,409,562
745,442,520
746,362,517
747,496,239
748,417,283
749,450,212
750,361,626
751,483,632
752,345,504
753,500,615
754,377,459
755,406,196
756,385,492
757,343,175
758,439,221
759,483,219
760,497,372
761,493,409
762,441,566
763,485,506
764,435,485
765,449,878
766,480,614
767,388,618
768,367,501
769,469,209
770,420,582
771,345,886
772,477,534
773,416,545
774,458,544
775,410,283
776,444,873
777,460,572
778,450,550
779,433,519
780,486,616
781,347,563
782,447,259
783,449,254
784,345,557
785,471,592
786,413,170
787,424,229
788,377,631
789,446,506
790,450,474
791,423,486
792,429,665
793,338,231
794,350,254
795,423,575
796,368,479
797,492,455
798,337,621
799,467,844
800,385,233
801,382,436
802,341,503
803,393,626
804,342,275
805,485,524
806,478,458
807,427,579
808,390,400
809,470,483
810,368,371
811,430,186
812,456,502
813,468,226
814,418,340
815,357,928
816,481,190
817,454,639
818,468,221
819,431,510
820,471,909
821,458,577
822,496,534
823,481,242
824,337,368
825,373,852
826,364,468
827,488,328
828,355,204
829,475,837
830,453,617
831,371,579
832,398,321
833,459,170
834,436,897
835,362,891
836,380,863
837,418,433
838,492,613
839,413,652
840,407,614
841,411,663
842,389,639
843,499,564
844,410,545
845,365,532
846,456,630
847,334,477
848,405,517
849,459,180
850,366,540
851,410,399
852,340,381
853,499,506
854,453,608
855,408,586
856,373,595
857,396,361
858,413,172
859,492,567
860,393,996
861,350,482
862,409,267
863,381,554
864,436,942
865,401,969
866,466,555
867,382,637
868,420,339
869,395,173
870,493,537
871,361,519
872,499,988
873,347,448
874,411,533
875,373,530
876,380,244
877,443,254
878,458,317
879,433,607
880,422,523
881,479,664
882,399,333
883,428,328
884,352,348
885,352,635
886,479,519
887,424,917
888,334,485
889,384,992
890,471,641
891,474,565
892,387,537
893,380,373
894,449,458
895,487,651
896,366,532
897,492,643
898,465,195
899,365,540
900,434,289
901,468,186
902,343,486
903,425,490
904,492,986
905,457,241
906,343,600
907,360,347
908,463,631
909,337,628
910,425,638
911,471,851
912,387,992
913,344,484
914,437,212
915,482,875
916,480,565
917,380,191
918,396,995
919,420,558
920,484,390
921,416,386
922,466,260
923,480,265
924,463,592
925,465,517
926,445,341
927,341,460
928,392,629
929,484,407
930,500,657
931,384,955
932,425,906
933,393,904
934,335,290
935,384,460
936,337,324
937,476,615
938,409,345
939,481,543
940,431,848
941,344,629
942,474,604
943,395,582
944,359,258
945,354,432
946,405,944
947,340,634
948,440,472
949,351,954
950,431,544
951,348,918
952,486,324
953,462,572
954,422,243
955,457,513
956,462,266
957,396,598
958,396,284
959,359,665
960,480,572
961,339,307
962,446,608
963,423,836
964,459,660
965,434,468
966,465,600
967,391,396
968,483,932
969,358,410
970,413,922
971,426,198
972,372,943
973,417,996
974,431,601
975,460,293
976,416,514
977,458,199
978,394,985
979,395,271
980,360,238
981,373,637
982,438,520
983,349,354
984,345,659
985,360,918
986,361,632
987,373,214
988,391,373
989,428,920
990,446,976
991,463,406
992,352,601
993,364,189
994,348,203
995,414,609
996,424,273
997,496,294
998,416,584
999,367,590
1000,394,610
1001,546,419
1002,630,390
1003,661,65
1004,621,371
1005,640,82
1006,609,159
1007,661,132
1008,566,71
1009,520,498
1010,594,343
1011,531,351
1012,574,360
1013,541,429
1014,530,488
1015,522,351
1016,522,87
1017,583,32
1018,549,29
1019,526,24
1020,545,378
1021,517,166
1022,594,61
1023,619,425
1024,587,53
1025,558,69
1026,554,364
1027,572,35
1028,550,164
1029,653,110
1030,528,90
1031,593,76
1032,526,7
1033,638,119
1034,538,45
1035,581,469
1036,605,371
1037,640,66
1038,634,109
1039,626,161
1040,575,453
1041,596,80
1042,557,392
1043,511,36
1044,620,96
1045,580,386
1046,595,136
1047,616,50
1048,591,78
1049,536,438
1050,537,434
1051,654,155
1052,621,339
1053,530,149
1054,521,400
1055,528,66
1056,632,441
1057,619,96
1058,596,150
1059,513,9
1060,530,47
1061,661,417
1062,652,93
1063,532,13
1064,550,47
1065,589,485
1066,635,461
1067,555,140
1068,542,385
1069,641,18
1070,602,496
1071,611,136
1072,520,449
1073,643,71
1074,596,406
1075,537,362
1076,629,445
1077,615,79
1078,624,41
1079,555,467
1080,595,22
1081,563,350
1082,532,350
1083,578,460
1084,616,89
1085,663,99
1086,531,167
1087,599,475
1088,603,157
1089,663,54
1090,555,388
1091,550,67
1092,523,138
1093,611,105
1094,620,149
1095,641,136
1096,527,362
1097,555,357
1098,608,11
1099,608,166
1100,601,168
1101,594,412
1102,623,45
1103,534,15
1104,650,410
1105,526,404
1106,634,89
1107,595,338
1108,576,19
1109,523,372
1110,604,472
1111,526,406
1112,630,124
1113,574,69
1114,600,25
1115,524,338
1116,539,78
1117,644,345
1118,605,58
1119,517,107
1120,562,110
1121,665,168
1122,612,442
1123,504,340
1124,604,14
1125,642,430
1126,623,6
1127,655,114
1128,513,39
1129,656,446
1130,557,129
1131,506,1
1132,579,368
1133,542,404
1134,502,95
1135,642,18
1136,601,104
1137,640,452
1138,628,453
1139,583,35
1140,567,70
1141,661,96
1142,530,494
1143,593,385
1144,648,92
1145,508,130
1146,634,105
1147,610,160
1148,616,60
1149,616,146
1150,654,348
1151,617,457
1152,624,139
1153,566,165
1154,548,134
1155,517,114
1156,618,401
1157,646,51
1158,542,477
1159,629,68
1160,593,123
1161,651,50
1162,652,488
1163,542,52
1164,660,97
1165,539,335
1166,512,152
1167,644,494
1168,551,428
1169,607,378
1170,642,156
1171,554,89
1172,608,348
1173,610,137
1174,514,397
1175,511,142
1176,611,451
1177,625,364
1178,531,399
1179,617,452
1180,533,148
1181,516,411
1182,583,78
1183,516,496
1184,643,82
1185,585,47
1186,586,75
1187,568,347
1188,574,85
1189,580,90
1190,599,421
1191,655,393
1192,576,102
1193,521,500
1194,580,10
1195,645,408
1196,508,77
1197,617,126
1198,604,106
1199,633,353
1200,576,434
1201,554,142
1202,619,55
1203,641,394
1204,545,29
1205,618,5
1206,657,396
1207,568,89
1208,585,453
1209,503,12
1210,561,485
1211,609,54
1212,550,439
1213,515,138
1214,590,440
1215,665,386
1216,582,86
1217,619,151
1218,635,99
1219,635,4
1220,651,54
1221,616,34
1222,524,167
1223,614,51
1224,574,433
1225,602,425
1226,649,133
1227,644,67
1228,545,103
1229,656,69
1230,629,116
1231,651,336
1232,542,96
1233,634,90
1234,576,400
1235,604,493
1236,562,164
1237,572,51
1238,635,148
1239,503,412
1240,642,139
1241,505,492
1242,509,62
1243,523,441
1244,620,35
1245,613,49
1246,622,31
1247,628,147
1248,651,95
1249,665,471
1250,561,159
1251,575,76
1252,616,14
1253,513,16
1254,652,75
1255,513,15
1256,515,107
1257,595,338
1258,523,334
1259,659,53
1260,508,442
1261,533,386
1262,559,334
1263,640,367
1264,514,348
1265,662,103
1266,579,101
1267,540,352
1268,631,158
1269,616,56
1270,599,82
1271,555,44
1272,547,25
1273,593,116
1274,551,41
1275,521,360
1276,529,71
1277,617,122
1278,549,357
1279,650,95
1280,632,84
1281,517,164
1282,662,34
1283,605,91
1284,645,421
1285,651,497
1286,555,21
1287,630,491
1288,570,51
1289,543,422
1290,530,436
1291,590,455
1292,542,388
1293,527,45
1294,647,480
1295,585,139
1296,527,20
1297,511,140
1298,588,38
1299,505,60
1300,640,402
1301,646,103
1302,562,11
1303,549,96
1304,596,387
1305,544,142
1306,517,26
1307,616,416
1308,610,81
1309,592,112
1310,512,468
1311,555,401
1312,570,44
1313,652,154
1314,554,493
1315,516,54
1316,602,139
1317,545,154
1318,648,121
1319,605,108
1320,603,455
1321,590,17
1322,527,39
1323,624,443
1324,568,378
1325,642,496
1326,545,139
1327,574,10
1328,595,485
1329,505,364
1330,647,103
1331,510,362
1332,652,120
1333,559,388
1334,971,62
1335,984,89
1336,918,75
1337,863,60
1338,705,878
1339,770,876
1340,961,91
1341,761,937
1342,818,840
1343,670,706
1344,950,13
1345,955,8
1346,739,870
1347,845,57
1348,796,778
1349,774,909
1350,690,796
1351,795,772
1352,984,21
1353,888,142
1354,860,81
1355,947,60
1356,679,939
1357,805,921
1358,919,79
1359,852,26
1360,768,872
1361,914,147
1362,709,952
1363,840,161
1364,972,69
1365,780,880
1366,912,87
1367,932,123
1368,987,103
1369,977,143
1370,949,128
1371,741,716
1372,779,982
1373,691,749
1374,957,51
1375,907,62
1376,783,984
1377,957,104
1378,713,734
1379,946,21
1380,668,877
1381,715,991
1382,738,881
1383,831,902
1384,947,11
1385,881,133
1386,929,78
1387,989,65
1388,898,151
1389,707,979
1390,715,795
1391,731,727
1392,984,50
1393,875,19
1394,821,712
1395,837,160
1396,897,100
1397,861,34
1398,818,901
1399,932,128
1400,765,954
1401,715,937
1402,879,133
1403,854,34
1404,876,40
1405,705,993
1406,876,22
1407,924,67
1408,943,162
1409,926,43
1410,952,164
1411,698,746
1412,836,4
1413,878,49
1414,788,666
1415,719,792
1416,982,163
1417,769,993
1418,710,936
1419,776,808
1420,871,112
1421,946,133
1422,807,904
1423,877,10
1424,711,875
1425,750,953
1426,786,700
1427,745,962
1428,684,989
1429,832,964
1430,921,111
1431,744,782
1432,985,36
1433,734,987
1434,793,818
1435,926,24
1436,737,886
1437,687,783
1438,769,893
1439,840,158
1440,673,923
1441,725,882
1442,717,813
1443,681,844
1444,719,840
1445,802,789
1446,796,830
1447,936,145
1448,807,919
1449,882,77
1450,891,77
1451,993,75
1452,784,965
1453,856,5
1454,821,756
1455,741,865
1456,827,690
1457,942,31
1458,872,147
1459,919,49
1460,812,728
1461,898,38
1462,716,878
1463,693,734
1464,794,949
1465,980,1
1466,730,993
1467,732,978
1468,763,768
1469,710,823
1470,679,989
1471,746,879
1472,869,124
1473,936,95
1474,942,50
1475,882,159
1476,838,88
1477,965,51
1478,864,113
1479,946,31
1480,968,128
1481,879,26
1482,679,820
1483,893,68
1484,961,59
1485,844,124
1486,909,95
1487,767,689
1488,691,839
1489,807,934
1490,866,59
1491,995,108
1492,917,168
1493,760,857
1494,822,838
1495,757,674
1496,706,968
1497,691,932
1498,979,133
1499,745,861
1500,808,833
1501,794,762
1502,725,996
1503,730,811
1504,824,718
1505,991,5
1506,783,765
1507,859,38
1508,874,160
1509,969,87
1510,740,953
1511,676,782
1512,974,123
1513,685,709
1514,733,719
1515,858,13
1516,747,953
1517,771,907
1518,933,56
1519,902,102
1520,787,922
1521,944,9
1522,749,975
1523,709,689
1524,995,15
1525,935,110
1526,841,59
1527,941,55
1528,786,739
1529,789,771
1530,798,784
1531,939,100
1532,721,867
1533,714,670
1534,815,822
1535,849,120
1536,690,925
1537,958,156
1538,884,34
1539,868,33
1540,863,66
1541,764,955
1542,857,166
1543,738,854
1544,731,842
1545,936,87
1546,797,965
1547,932,71
1548,793,715
1549,860,159
1550,787,967
1551,970,47
1552,719,668
1553,877,150
1554,830,815
1555,951,133
1556,930,125
1557,743,827
1558,969,158
1559,866,44
1560,862,43
1561,753,999
1562,855,108
1563,795,802
1564,705,976
1565,923,1
1566,989,108
1567,684,669
1568,795,870
1569,710,830
1570,795,681
1571,790,695
1572,694,845
1573,696,833
1574,958,27
1575,748,695
1576,754,804
1577,823,973
1578,756,794
1579,780,697
1580,746,880
1581,706,692
1582,882,137
1583,828,819
1584,974,38
1585,905,115
1586,899,59
1587,782,845
1588,985,122
1589,844,111
1590,974,35
1591,893,135
1592,925,116
1593,972,36
1594,753,939
1595,740,927
1596,956,43
1597,955,155
1598,854,55
1599,879,128
1600,988,6
1601,674,997
1602,986,19
1603,737,827
1604,772,678
1605,868,94
1606,759,861
1607,701,961
1608,774,672
1609,877,98
1610,709,957
1611,915,95
1612,743,978
1613,777,787
1614,726,818
1615,767,808
1616,710,786
1617,867,72
1618,806,937
1619,864,139
1620,778,916
1621,891,10
1622,848,33
1623,897,146
1624,836,66
1625,820,967
1626,908,40
1627,736,782
1628,802,788
1629,955,15
1630,933,82
1631,800,846
1632,746,828
1633,980,168
1634,923,16
1635,725,966
1636,875,158
1637,936,65
1638,682,960
1639,902,58
1640,777,732
1641,767,848
1642,740,753
1643,770,938
1644,772,790
1645,957,85
1646,928,127
1647,986,29
1648,862,36
1649,731,720
1650,765,713
1651,881,56
1652,669,935
1653,748,896
1654,748,718
1655,963,126
1656,742,847
1657,874,55
1658,708,880
1659,695,986
1660,838,3
1661,790,732
1662,744,888
1663,813,815
1664,735,883
1665,736,800
1666,721,915
1667,783,792
1668,890,39
1669,912,27
1670,798,954
1671,772,808
1672,744,918
1673,883,157
1674,884,36
1675,955,132
1676,803,893
1677,926,77
1678,867,94
1679,962,129
1680,704,831
1681,921,15
1682,740,989
1683,739,980
1684,896,68
1685,823,860
1686,672,689
1687,868,107
1688,736,680
1689,951,86
1690,963,31
1691,808,787
1692,703,826
1693,788,991
1694,844,79
1695,679,825
1696,880,72
1697,962,58
1698,692,788
1699,886,5
1700,770,666
1701,836,7
1702,874,116
1703,987,83
1704,723,848
1705,791,809
1706,945,144
1707,861,21
1708,807,835
1709,942,57
1710,930,48
1711,822,794
1712,772,853
1713,746,913
1714,857,45
1715,857,83
1716,759,844
1717,708,691
1718,774,714
1719,973,143
1720,881,134
1721,710,711
1722,727,744
1723,981,25
1724,862,82
1725,877,45
1726,970,10
1727,694,912
1728,748,917
1729,880,156
1730,973,104
1731,741,947
1732,768,718
1733,670,698
1734,759,727
1735,906,132
1736,984,98
1737,992,81
1738,737,865
1739,913,75
1740,677,828
1741,919,37
1742,911,20
1743,750,737
1744,994,56
1745,667,924
1746,703,667
1747,979,127
1748,690,929
1749,791,932
1750,681,732
1751,987,37
1752,947,164
1753,962,159
1754,819,860
1755,873,30
1756,856,106
1757,973,111
1758,692,989
1759,780,692
1760,898,139
1761,988,132
1762,712,760
1763,758,860
1764,918,24
1765,734,889
1766,977,129
1767,800,839
1768,784,915
1769,871,31
1770,692,869
1771,678,670
1772,729,708
1773,794,993
1774,942,141
1775,833,943
1776,987,17
1777,683,763
1778,666,809
1779,907,130
1780,992,112
1781,694,727
1782,980,31
1783,695,939
1784,680,801
1785,941,67
1786,720,894
1787,844,81
1788,997,151
1789,860,54
1790,939,157
1791,704,866
1792,850,19
1793,903,6
1794,975,152
1795,803,683
1796,914,106
1797,737,759
1798,692,888
1799,820,845
1800,932,9
1801,715,912
1802,744,794
1803,934,134
1804,971,155
1805,689,752
1806,796,964
1807,723,758
1808,974,152
1809,723,778
1810,780,955
1811,731,875
1812,710,828
1813,804,796
1814,866,138
1815,940,143
1816,692,747
1817,845,105
1818,751,916
1819,801,998
1820,742,903
1821,848,95
1822,675,922
1823,699,776
1824,886,97
1825,792,832
1826,914,118
1827,740,669
1828,744,764
1829,811,831
1830,806,758
1831,930,138
1832,977,147
1833,928,73
1834,865,113
1835,972,121
1836,797,955
1837,897,130
1838,761,841
1839,757,680
1840,927,42
1841,728,934
1842,984,66
1843,963,67
1844,698,822
1845,780,984
1846,766,701
1847,786,882
1848,708,759
1849,939,58
1850,681,936
1851,803,933
1852,998,74
1853,837,168
1854,900,56
1855,751,684
1856,768,986
1857,775,959
1858,690,757
1859,678,741
1860,935,151
1861,840,20
1862,959,91
1863,948,39
1864,938,103
1865,925,60
1866,802,868
1867,881,33
1868,779,833
1869,914,96
1870,830,891
1871,987,40
1872,938,92
1873,867,67
1874,710,806
1875,924,118
1876,813,996
1877,986,54
1878,837,55
1879,767,726
1880,721,796
1881,884,146
1882,996,27
1883,863,48
1884,860,13
1885,733,732
1886,885,96
1887,981,106
1888,842,73
1889,773,878
1890,738,673
1891,1000,60
1892,711,849
1893,719,721
1894,778,802
1895,777,741
1896,843,49
1897,672,993
1898,945,75
1899,685,868
1900,710,981
1901,670,780
1902,925,14
1903,921,3
1904,878,108
1905,810,957
1906,844,75
1907,719,982
1908,994,82
1909,892,47
1910,891,165
1911,805,792
1912,856,58
1913,946,20
1914,797,758
1915,813,863
1916,720,994
1917,720,799
1918,892,13
1919,813,698
1920,782,720
1921,744,832
1922,864,99
1923,932,26
1924,803,948
1925,811,828
1926,798,932
1927,788,916
1928,805,694
1929,699,683
1930,791,964
1931,888,89
1932,723,850
1933,777,689
1934,754,921
1935,840,142
1936,677,958
1937,851,29
1938,985,168
1939,701,928
1940,674,761
1941,996,36
1942,672,940
1943,841,24
1944,991,153
1945,955,102
1946,893,105
1947,871,103
1948,933,46
1949,784,899
1950,777,806
1951,693,836
1952,681,890
1953,735,740
1954,933,34
1955,951,144
1956,854,72
1957,718,867
1958,917,141
1959,730,702
1960,683,996
1961,941,48
1962,866,134
1963,836,112
1964,788,942
1965,906,107
1966,764,826
1967,804,681
1968,960,133
1969,889,70
1970,811,927
1971,784,996
1972,975,96
1973,790,737
1974,918,131
1975,961,78
1976,966,24
1977,677,725
1978,718,941
1979,766,837
1980,976,98
1981,913,65
1982,996,103
1983,877,44
1984,975,91
1985,888,100
1986,820,863
1987,895,2
1988,740,749
1989,945,3
1990,834,832
1991,870,131
1992,707,935
1993,975,104
1994,724,999
1995,743,971
1996,705,786
1997,720,751
1998,720,916
1999,881,7
2000,813,685
